Model,Outcome,N,Residual_Shapiro_P,Breusch_Pagan_LM,Breusch_Pagan_P,Max_Leverage,Max_Abs_Studentized_Residual,Max_Cooks_D,Most_Influential_Model,Leather_Estimate,Leather_HC3_SE,Leather_HC3_P_Value,Price_HC3_SE,Price_HC3_P_Value,R2
Baseline,CO2e_Total,40,1.4900759944328758e-07,12.210905,0.0022306719163236455,0.2072,3.750308,0.50987,Vans Old Skool,11.837274,1.805771,1.1171295222212052e-07,0.010015,0.5319790753204008,0.751822
Category_Adjusted,CO2e_Total,40,1.1268978735730228e-06,13.196918,0.021601684597340465,0.573225,3.492025,0.316571,Nike Mercurial Superfly 10 Academy,10.912078,1.701501,2.516181107914406e-07,0.025721,0.46972466063160234,0.772756
Annualized_Baseline,Annualized_CO2e,40,0.0022882719670813045,9.539139,0.00848403299907452,0.2072,2.957743,0.364842,Vans Old Skool,4.226311,0.494558,2.7693070059342517e-10,0.003538,0.8147519215967547,0.798135
